pathogen_drug,mecA,blaKPC,blaNDM,mcr-1
Acinetobacter baumannii + ampicillin,0.0,0.0,10.0,0.0
Acinetobacter baumannii + chloramphenicol,0.0,0.0,9.0,0.0
Acinetobacter baumannii + colistin,0.0,1.0,23.0,0.0
Acinetobacter baumannii + doripenem,0.0,0.0,4.0,0.0
Acinetobacter baumannii + ertapenem,0.0,0.0,1.0,0.0
Acinetobacter baumannii + fosfomycin,0.0,0.0,1.0,0.0
Acinetobacter baumannii + imipenem,0.0,1.0,33.0,0.0
Acinetobacter baumannii + imipenem-relebactam,0.0,0.0,0.0,0.0
Acinetobacter baumannii + meropenem,0.0,1.0,19.0,0.0
Acinetobacter baumannii + penicillin,0.0,0.0,8.0,0.0
Campylobacter coli + ampicillin,0.0,0.0,0.0,0.0
Campylobacter coli + chloramphenicol,0.0,0.0,0.0,0.0
Campylobacter coli + meropenem,0.0,0.0,0.0,0.0
Campylobacter jejuni + ampicillin,0.0,0.0,0.0,0.0
Campylobacter jejuni + chloramphenicol,0.0,0.0,0.0,0.0
Campylobacter jejuni + meropenem,0.0,0.0,0.0,0.0
Clostridioides difficile + ampicillin,0.0,0.0,0.0,0.0
Enterobacter + ampicillin,0.0,0.0,0.0,0.0
Enterobacter + chloramphenicol,0.0,0.0,0.0,0.0
Enterobacter + meropenem,0.0,0.0,0.0,0.0
Enterobacter aerogenes + ampicillin,0.0,0.0,0.0,0.0
Enterobacter aerogenes + ertapenem,0.0,0.0,0.0,0.0
Enterobacter aerogenes + imipenem,0.0,1.0,0.0,0.0
Enterobacter aerogenes + meropenem,0.0,0.0,0.0,0.0
Enterobacter asburiae + ampicillin,0.0,1.0,0.0,0.0
Enterobacter asburiae + chloramphenicol,0.0,0.0,0.0,0.0
Enterobacter asburiae + colistin,0.0,0.0,0.0,0.0
Enterobacter asburiae + doripenem,0.0,0.0,0.0,0.0
Enterobacter asburiae + ertapenem,0.0,1.0,0.0,0.0
Enterobacter asburiae + fosfomycin,0.0,0.0,0.0,0.0
Enterobacter asburiae + imipenem,0.0,1.0,0.0,0.0
Enterobacter asburiae + meropenem,0.0,2.0,0.0,0.0
Enterobacter bugandensis + ampicillin,0.0,0.0,0.0,0.0
Enterobacter bugandensis + chloramphenicol,0.0,0.0,0.0,0.0
Enterobacter bugandensis + colistin,0.0,0.0,0.0,0.0
Enterobacter bugandensis + ertapenem,0.0,1.0,0.0,0.0
Enterobacter bugandensis + fosfomycin,0.0,0.0,0.0,0.0
Enterobacter bugandensis + imipenem,0.0,1.0,0.0,0.0
Enterobacter bugandensis + meropenem,0.0,1.0,0.0,0.0
Enterobacter chengduensis + meropenem,0.0,0.0,1.0,0.0
Enterobacter cloacae + ampicillin,0.0,31.0,8.0,0.0
Enterobacter cloacae + chloramphenicol,0.0,0.0,2.0,0.0
Enterobacter cloacae + colistin,0.0,14.0,6.0,0.0
Enterobacter cloacae + doripenem,0.0,28.0,5.0,0.0
Enterobacter cloacae + ertapenem,0.0,30.0,10.0,0.0
Enterobacter cloacae + fosfomycin,0.0,0.0,0.0,0.0
Enterobacter cloacae + imipenem,0.0,34.0,18.0,0.0
Enterobacter cloacae + imipenem-relebactam,0.0,8.0,1.0,0.0
Enterobacter cloacae + meropenem,0.0,31.0,8.0,0.0
Enterobacter cloacae + penicillin,0.0,0.0,0.0,0.0
Enterobacter hormaechei + amoxicillin,0.0,0.0,1.0,0.0
Enterobacter hormaechei + ampicillin,0.0,7.0,5.0,1.0
Enterobacter hormaechei + chloramphenicol,0.0,2.0,2.0,1.0
Enterobacter hormaechei + colistin,0.0,1.0,1.0,1.0
Enterobacter hormaechei + doripenem,0.0,1.0,0.0,1.0
Enterobacter hormaechei + ertapenem,0.0,8.0,0.0,1.0
Enterobacter hormaechei + imipenem,0.0,4.0,5.0,1.0
