pathogen_drug,model,n,resistant,susceptible,cv_folds,balanced_accuracy_mean,balanced_accuracy_sd,f1_mean,f1_sd,roc_auc_mean,roc_auc_sd
Acinetobacter baumannii + ampicillin,logistic_regression,857,854,3,3,0.7086401449633474,0.2394550729111529,0.856865096301716,0.011423036100883735,0.7063050819537106,0.2489429954594815
Acinetobacter baumannii + ampicillin,random_forest,857,854,3,3,0.4578947368421053,0.05954583420518295,0.9500662107000858,0.06813595803329414,0.7092290585618978,0.24480953358548735
Acinetobacter baumannii + chloramphenicol,logistic_regression,59,56,3,3,0.6695906432748537,0.05375665587967903,0.49689440993788825,0.12046594125501277,0.6695906432748537,0.05375665587967903
Acinetobacter baumannii + chloramphenicol,random_forest,59,56,3,3,0.6695906432748537,0.05375665587967903,0.49689440993788825,0.12046594125501277,0.6695906432748537,0.05375665587967903
Acinetobacter baumannii + colistin,logistic_regression,600,83,517,5,0.6109772437727892,0.05108587403842058,0.2760749389123444,0.06464252338479066,0.7097946434455036,0.04200832736452987
Acinetobacter baumannii + colistin,random_forest,600,83,517,5,0.614256413917322,0.053740165084859175,0.28387870952588323,0.05197421384072082,0.7094698976958222,0.018145632067940343
Acinetobacter baumannii + doripenem,logistic_regression,589,349,240,5,0.7992003105590062,0.03847041933292509,0.8549257632961801,0.027866537735037486,0.8264298654244306,0.037519565132276674
Acinetobacter baumannii + doripenem,random_forest,589,349,240,5,0.7993400621118012,0.0334379566862057,0.8572266846805148,0.023876062614075055,0.8214919772256728,0.03508309207780897
Acinetobacter baumannii + imipenem,logistic_regression,1944,1079,865,5,0.7775102562570636,0.024136055972463284,0.808527549882988,0.023235830479324603,0.798825820376096,0.025672252067467885
Acinetobacter baumannii + imipenem,random_forest,1944,1079,865,5,0.7790163701811773,0.023812423718281763,0.8099583940296631,0.02318680821075118,0.8017968489392739,0.022863039106661383
Acinetobacter baumannii + imipenem-relebactam,logistic_regression,41,37,4,4,0.75,0.25,0.974937343358396,0.025125235157598298,0.7777777777777778,0.22566773346211
Acinetobacter baumannii + imipenem-relebactam,random_forest,41,37,4,4,0.75,0.25,0.974937343358396,0.025125235157598298,0.7777777777777778,0.22566773346211
Acinetobacter baumannii + meropenem,logistic_regression,1244,846,398,5,0.6814774064070989,0.015579924925544945,0.7984041086782525,0.020352414734762465,0.7175966880647846,0.015121316006876353
Acinetobacter baumannii + meropenem,random_forest,1244,846,398,5,0.6807490736538793,0.014735985520635,0.7996879920717991,0.01737675730086157,0.719655974216516,0.013510816352501748
Campylobacter jejuni + ampicillin,logistic_regression,137,20,117,5,0.5,0.0,0.15483870967741936,0.1264252770468737,0.5,0.0
Campylobacter jejuni + ampicillin,random_forest,137,20,117,5,0.5,0.0,0.0,0.0,0.5,0.0
Enterobacter cloacae + doripenem,logistic_regression,76,42,34,5,0.8603174603174603,0.08019751929632832,0.8630392156862745,0.06980612466230374,0.8550925925925927,0.10152071161335179
Enterobacter cloacae + doripenem,random_forest,76,42,34,5,0.8603174603174603,0.08019751929632832,0.8630392156862745,0.06980612466230374,0.8655423280423282,0.0667765429469261
Enterobacter cloacae + ertapenem,logistic_regression,131,102,29,5,0.8385714285714286,0.038159172540551664,0.804978354978355,0.055330027043014554,0.8197619047619048,0.03268805699785149
Enterobacter cloacae + ertapenem,random_forest,131,102,29,5,0.8483333333333334,0.0382111332329708,0.8188141923436042,0.05339186712269032,0.7956349206349207,0.04040629664129157
Enterobacter cloacae + imipenem,logistic_regression,128,83,45,5,0.8471813725490197,0.06193360125294739,0.8402055638095683,0.0842059837431723,0.8991421568627451,0.06129062968789754
Enterobacter cloacae + imipenem,random_forest,128,83,45,5,0.8602532679738563,0.05457283956541297,0.8792570869990225,0.0362321380245752,0.88484477124183,0.059490701782849376
Enterobacter cloacae + meropenem,logistic_regression,146,63,83,5,0.7690516591251886,0.023307628729914296,0.7158754252402165,0.0478198311696113,0.8068721719457013,0.02862723641698585
Enterobacter cloacae + meropenem,random_forest,146,63,83,5,0.7690516591251886,0.023307628729914296,0.7158754252402165,0.0478198311696113,0.8060991704374058,0.026470554663878022
Enterobacter hormaechei + ampicillin,logistic_regression,100,90,10,5,0.8555555555555555,0.06431020501550126,0.8246347567240061,0.08701316245247125,0.8555555555555555,0.05015408357018829
Enterobacter hormaechei + ampicillin,random_forest,100,90,10,5,0.8833333333333334,0.04082482904638631,0.8655373469035709,0.051677425148817055,0.9222222222222222,0.025760051376376988
Enterobacter hormaechei + ertapenem,logistic_regression,112,69,43,5,0.9054029304029305,0.05355228395625498,0.9279875935048348,0.03150814620490434,0.910576923076923,0.07538045503545458
Enterobacter hormaechei + ertapenem,random_forest,112,69,43,5,0.9196886446886448,0.05541318014687927,0.9427513227513227,0.03708598428512699,0.9319749694749696,0.05772047590345622
Enterobacter hormaechei + meropenem,logistic_regression,159,40,119,5,0.8123188405797104,0.06443369710990843,0.7445238095238095,0.08141186127624517,0.8771286231884059,0.07747287427327161
Enterobacter hormaechei + meropenem,random_forest,159,40,119,5,0.8123188405797104,0.06443369710990843,0.7445238095238095,0.08141186127624517,0.8738677536231882,0.06794957568405981
Enterococcus faecium + ampicillin,logistic_regression,2060,1779,281,5,0.5107142857142858,0.006681531047810633,0.9282552823553842,0.0013949821846629582,0.5107142857142857,0.0066815310478105855
Enterococcus faecium + ampicillin,random_forest,2060,1779,281,5,0.5107142857142858,0.006681531047810633,0.9282552823553842,0.0013949821846629582,0.5107142857142857,0.0066815310478105855
Enterococcus faecium + chloramphenicol,logistic_regression,65,48,17,5,0.5,0.0,0.0,0.0,0.5,0.0
Enterococcus faecium + chloramphenicol,random_forest,65,48,17,5,0.5,0.0,0.0,0.0,0.5,0.0
Escherichia coli + amoxicillin,logistic_regression,1132,698,434,5,0.5746915241320519,0.022188082452062597,0.6125483481003378,0.1739164831998537,0.628096764197074,0.03215611629914579
Escherichia coli + amoxicillin,random_forest,1132,698,434,5,0.579675103770804,0.033936208295165145,0.7004872781335012,0.020070472553717522,0.619161764871526,0.03465888051813169
Escherichia coli + ampicillin,logistic_regression,15646,7709,7937,5,0.5837209083038133,0.005408675661437444,0.38258489706447857,0.006739660540075274,0.6088663956495362,0.004593082919206221
Escherichia coli + ampicillin,random_forest,15646,7709,7937,5,0.5920887020323571,0.0034798632913598158,0.3529638774390766,0.005971374830289924,0.6186719320652836,0.005683058096019127
Escherichia coli + chloramphenicol,logistic_regression,6180,797,5383,5,0.5448865612871658,0.008469380111207243,0.17421388118841255,0.02383035295782861,0.5576152378054495,0.013197283190984893
Escherichia coli + chloramphenicol,random_forest,6180,797,5383,5,0.5423740435720087,0.0070805483617608,0.16320533925324562,0.022421603520357974,0.5532749223765518,0.011503029544307937
Escherichia coli + colistin,logistic_regression,1302,437,865,5,0.5853350124727441,0.03344210779693757,0.3432482553309166,0.08207174228660762,0.6077961446234318,0.03127828539998426
Escherichia coli + colistin,random_forest,1302,437,865,5,0.5859721643382197,0.035036884858208835,0.3401016994348597,0.08274655519300952,0.599097236064049,0.02834919726403275
Escherichia coli + doripenem,logistic_regression,170,48,122,5,0.814111111111111,0.031872334069100484,0.7526143790849673,0.04480343291925191,0.8352222222222222,0.06630443256508406
Escherichia coli + doripenem,random_forest,170,48,122,5,0.7960555555555555,0.03105570463092817,0.7305555555555555,0.0538631095268481,0.849388888888889,0.04919362098564218
Escherichia coli + ertapenem,logistic_regression,4225,270,3955,5,0.8673736948073231,0.023407210352464885,0.7702135179904545,0.043044735723189086,0.9037481856065928,0.0206690057412918
Escherichia coli + ertapenem,random_forest,4225,270,3955,5,0.8635880507561924,0.023831814869335763,0.7832355841430606,0.025318685108089115,0.9024301165894085,0.024781992323390678
Escherichia coli + fosfomycin,logistic_regression,74,5,69,5,0.8,0.2449489742783178,0.6,0.48989794855663565,0.8956043956043956,0.1312255405584895
Escherichia coli + fosfomycin,random_forest,74,5,69,5,0.8,0.2449489742783178,0.6,0.48989794855663565,0.8956043956043956,0.1312255405584895
Escherichia coli + imipenem,logistic_regression,4914,131,4783,5,0.8469481998734631,0.05419993756088575,0.7092811996550366,0.09141584846944575,0.8588443702532578,0.047111415007122834
Escherichia coli + imipenem,random_forest,4914,131,4783,5,0.8457541913031742,0.050674117687564094,0.7741360396147359,0.07667718695550485,0.8599007482682277,0.04412889863289612
Escherichia coli + meropenem,logistic_regression,13198,170,13028,5,0.8869650785469926,0.03931195384104649,0.47850943454428974,0.04413066997037961,0.8892128720245124,0.05382227790910499
