species,antibiotic_name,pathogen_drug,total,resistant,susceptible
Salmonella enterica,chloramphenicol,Salmonella enterica + chloramphenicol,28087,3220,24867
Salmonella enterica,ampicillin,Salmonella enterica + ampicillin,28021,5763,22258
Salmonella enterica,meropenem,Salmonella enterica + meropenem,19485,1,19484
Escherichia coli,ampicillin,Escherichia coli + ampicillin,15647,7710,7937
Escherichia coli,meropenem,Escherichia coli + meropenem,13199,171,13028
Streptococcus pneumoniae,penicillin,Streptococcus pneumoniae + penicillin,11457,4254,7203
Streptococcus pneumoniae,chloramphenicol,Streptococcus pneumoniae + chloramphenicol,9074,689,8385
Neisseria gonorrhoeae,penicillin,Neisseria gonorrhoeae + penicillin,7877,6116,1761
Escherichia coli,chloramphenicol,Escherichia coli + chloramphenicol,6181,798,5383
Klebsiella pneumoniae,meropenem,Klebsiella pneumoniae + meropenem,5044,1996,3048
Escherichia coli,imipenem,Escherichia coli + imipenem,4914,131,4783
Salmonella enterica,colistin,Salmonella enterica + colistin,4556,4113,443
Escherichia coli,ertapenem,Escherichia coli + ertapenem,4225,270,3955
Klebsiella pneumoniae,ampicillin,Klebsiella pneumoniae + ampicillin,3994,3975,19
Staphylococcus aureus,methicillin,Staphylococcus aureus + methicillin,3205,2264,941
Klebsiella pneumoniae,imipenem,Klebsiella pneumoniae + imipenem,2777,1326,1451
Staphylococcus aureus,penicillin,Staphylococcus aureus + penicillin,2619,2336,283
Klebsiella pneumoniae,ertapenem,Klebsiella pneumoniae + ertapenem,2273,1479,794
Streptococcus pneumoniae,meropenem,Streptococcus pneumoniae + meropenem,2189,208,1981
Enterococcus faecium,ampicillin,Enterococcus faecium + ampicillin,2060,1779,281
Acinetobacter baumannii,imipenem,Acinetobacter baumannii + imipenem,1962,1097,865
Shigella sonnei,ampicillin,Shigella sonnei + ampicillin,1876,863,1013
Klebsiella pneumoniae,colistin,Klebsiella pneumoniae + colistin,1675,522,1153
Streptococcus pneumoniae,ertapenem,Streptococcus pneumoniae + ertapenem,1471,10,1461
Pseudomonas aeruginosa,meropenem,Pseudomonas aeruginosa + meropenem,1420,902,518
Escherichia coli,colistin,Escherichia coli + colistin,1302,437,865
Shigella sonnei,chloramphenicol,Shigella sonnei + chloramphenicol,1244,49,1195
Acinetobacter baumannii,meropenem,Acinetobacter baumannii + meropenem,1244,846,398
Staphylococcus aureus,chloramphenicol,Staphylococcus aureus + chloramphenicol,1157,17,1140
Escherichia coli,amoxicillin,Escherichia coli + amoxicillin,1132,698,434
Salmonella enterica,imipenem,Salmonella enterica + imipenem,910,13,897
Shigella sonnei,meropenem,Shigella sonnei + meropenem,883,0,883
Acinetobacter baumannii,ampicillin,Acinetobacter baumannii + ampicillin,857,854,3
Mycobacterium tuberculosis,amoxicillin,Mycobacterium tuberculosis + amoxicillin,848,30,818
