gene,ablation,mean_absolute_rank_shift,max_absolute_rank_shift,top10_overlap_count,top10_jaccard,spearman_rank_correlation
blaKPC,without_activity,0.5588235294117647,2,10,1.0,0.996
blaNDM1,without_activity,1.5,6,10,1.0,0.9868
mcr1,without_activity,1.380952380952381,4,7,0.5385,0.9884
mecA,without_activity,0.08695652173913043,1,10,1.0,0.9989
blaKPC,without_specificity,0.7647058823529411,6,10,1.0,0.9868
blaNDM1,without_specificity,0.34782608695652173,2,10,1.0,0.9984
mcr1,without_specificity,0.19047619047619047,1,9,0.8182,0.9994
mecA,without_specificity,0.0,0,10,1.0,1.0
blaKPC,without_conservation,0.0,0,10,1.0,1.0
blaNDM1,without_conservation,0.34782608695652173,2,10,1.0,0.9984
mcr1,without_conservation,0.6190476190476191,7,9,0.8182,0.9933
mecA,without_conservation,0.0,0,10,1.0,1.0
blaKPC,without_rna_accessibility,1.588235294117647,6,8,0.6667,0.9746
blaNDM1,without_rna_accessibility,3.782608695652174,12,10,1.0,0.9363
mcr1,without_rna_accessibility,2.8333333333333335,10,9,0.8182,0.9448
mecA,without_rna_accessibility,0.08695652173913043,1,10,1.0,0.9989
blaKPC,without_functional_context,1.411764705882353,4,8,0.6667,0.9789
blaNDM1,without_functional_context,3.5217391304347827,12,9,0.8182,0.9404
mcr1,without_functional_context,1.7142857142857142,8,9,0.8182,0.9763
mecA,without_functional_context,0.0,0,10,1.0,1.0
blaKPC,without_risk_penalties,0.8235294117647058,5,9,0.8182,0.9886
blaNDM1,without_risk_penalties,3.217391304347826,9,9,0.8182,0.9506
mcr1,without_risk_penalties,2.0476190476190474,6,7,0.5385,0.9738
mecA,without_risk_penalties,0.5217391304347826,8,10,1.0,0.9881
