gene,ablation,top10_overlap_count,top10_jaccard,spearman_rank_correlation
blaKPC,without_activity,10,1.0,0.996
blaNDM1,without_activity,10,1.0,0.9868
mcr1,without_activity,7,0.5385,0.9884
mecA,without_activity,10,1.0,0.9989
blaKPC,without_specificity,10,1.0,0.9868
blaNDM1,without_specificity,10,1.0,0.9984
mcr1,without_specificity,9,0.8182,0.9994
mecA,without_specificity,10,1.0,1.0
blaKPC,without_conservation,10,1.0,1.0
blaNDM1,without_conservation,10,1.0,0.9984
mcr1,without_conservation,9,0.8182,0.9933
mecA,without_conservation,10,1.0,1.0
blaKPC,without_rna_accessibility,8,0.6667,0.9746
blaNDM1,without_rna_accessibility,10,1.0,0.9363
mcr1,without_rna_accessibility,9,0.8182,0.9448
mecA,without_rna_accessibility,10,1.0,0.9989
blaKPC,without_functional_context,8,0.6667,0.9789
blaNDM1,without_functional_context,9,0.8182,0.9404
mcr1,without_functional_context,9,0.8182,0.9763
mecA,without_functional_context,10,1.0,1.0
blaKPC,without_risk_penalties,9,0.8182,0.9886
blaNDM1,without_risk_penalties,9,0.8182,0.9506
mcr1,without_risk_penalties,7,0.5385,0.9738
mecA,without_risk_penalties,10,1.0,0.9881
