target_gene,guide_id,total_offtarget_hits,db_refined_amr_hits,db_refined_virulence_hits,db_refined_essential_hits,db_refined_mobile_hits,db_refined_high_confidence_functional_hits,db_refined_total_burden,db_refined_mean_burden,db_refined_recommendation,db_refined_decision,db_refined_recommendation_order,db_refined_rank_within_gene,total_hits_req3,mobile_context_hits,plasmid_context_hits,integron_context_hits,sccmec_context_hits,resistance_island_like_hits,operon_proxy_hits,requirement3_mobile_context_burden,requirement3_mobile_context_decision,requirement3_final_decision,requirement3_rank_within_gene,combined_req2_req3_final_decision,combined_req2_req3_decision_order,combined_req2_req3_rank_within_gene,total_hit_rows,direct_plasmid_contig_hits,direct_chromosome_contig_hits,no_fasta_header_match_hits,unclassified_contig_hits,direct_plasmid_hit_fraction,direct_plasmid_mapping_decision,direct_plasmid_evidence_strength,direct_sccmec_marker_hits,direct_sccmec_proxy_context_hits,direct_nearby_sccmec_feature_hits,direct_sccmec_relevant_hits,direct_sccmec_evidence_strength,direct_integron_marker_hits,direct_insertion_sequence_marker_hits,direct_transposon_marker_hits,direct_conjugation_marker_hits,direct_any_mobile_element_marker_hits,direct_mobile_element_evidence_strength
blaKPC,blaKPC_riskaware_top5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Strong_candidate_zero_detected_offtarget_burden,PRIORITIZE_OR_KEEP_AS_LOW_OFFTARGET_CANDIDATE,0,1,0,0,0,0,0,0,0,0,Low_mobile_context_signal_zero_hit,Prioritize_zero_hit_low_mobile_context,1,FINAL_PRIORITIZE_ZERO_HIT_LOW_FUNCTIONAL_AND_MOBILE_CONTEXT,0,1,0,0,0,0,0,0.0,Zero_hit_no_direct_plasmid_contig_evidence,No_direct_plasmid_evidence,0,0,0,0,Zero_hit_no_direct_SCCmec_like_evidence,0,0,0,0,0,Zero_hit_no_direct_mobile_element_evidence
blaKPC,blaKPC_riskaware_top3,2.0,1.0,0.0,0.0,2.0,2.0,18.0,9.0,Acceptable_candidate_moderate_database_refined_burden,KEEP_AS_BACKUP,2,2,2,0,0,0,0,0,0,0,Low_mobile_context_signal,Prioritize_low_mobile_context,2,FINAL_BACKUP_ACCEPTABLE_WITH_MONITORING,2,2,2,0,1,0,1,0.0,No_direct_plasmid_contig_evidence_detected,No_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,0,0,0,0,No_direct_mobile_element_evidence
blaKPC,blaKPC_riskaware_top1,10.0,0.0,0.0,10.0,0.0,10.0,80.0,8.0,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,3,10,0,0,0,0,0,0,0,Low_mobile_context_signal,Prioritize_low_mobile_context,3,FINAL_DEPRIORITIZE_HIGH_FUNCTIONAL_BURDEN,5,3,10,0,10,0,0,0.0,No_direct_plasmid_contig_evidence_detected,No_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,0,0,0,0,No_direct_mobile_element_evidence
blaKPC,blaKPC_riskaware_top2,92.0,4.0,9.0,4.0,23.0,36.0,463.0,5.032608695652174,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,4,92,8,1,0,0,8,0,59,High_mobile_context_signal_review_or_deprioritize,Deprioritize_high_mobile_context,4,FINAL_DEPRIORITIZE_HIGH_FUNCTIONAL_AND_HIGH_MOBILE_CONTEXT,7,4,92,1,91,0,0,0.0108695652173913,Direct_plasmid_contig_evidence_present,Low_direct_plasmid_evidence_single_hit,0,0,0,0,No_direct_SCCmec_like_evidence,0,1,1,0,2,Low_direct_mobile_element_evidence
blaKPC,blaKPC_riskaware_top4,98.0,13.0,24.0,16.0,36.0,76.0,719.0,7.336734693877551,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,5,98,27,0,0,0,27,0,189,High_mobile_context_signal_review_or_deprioritize,Deprioritize_high_mobile_context,5,FINAL_DEPRIORITIZE_HIGH_FUNCTIONAL_AND_HIGH_MOBILE_CONTEXT,7,5,98,0,97,0,1,0.0,No_direct_plasmid_contig_evidence_detected,No_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,7,10,0,17,Moderate_direct_mobile_element_evidence
blaNDM1,blaNDM1_riskaware_top1,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,Strong_candidate_low_database_refined_burden,PRIORITIZE,1,1,1,0,0,0,0,0,0,0,Low_mobile_context_signal,Prioritize_low_mobile_context,1,FINAL_PRIORITIZE_LOW_FUNCTIONAL_AND_MOBILE_CONTEXT,1,1,1,0,1,0,0,0.0,No_direct_plasmid_contig_evidence_detected,No_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,0,0,0,0,No_direct_mobile_element_evidence
blaNDM1,blaNDM1_riskaware_top5,24.0,0.0,0.0,0.0,0.0,0.0,62.0,2.583333333333333,Acceptable_candidate_moderate_database_refined_burden,KEEP_AS_BACKUP,2,4,24,0,0,0,0,0,0,0,Low_mobile_context_signal,Prioritize_low_mobile_context,2,FINAL_BACKUP_ACCEPTABLE_WITH_MONITORING,2,2,24,0,24,0,0,0.0,No_direct_plasmid_contig_evidence_detected,No_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,0,0,0,0,No_direct_mobile_element_evidence
blaNDM1,blaNDM1_riskaware_top2,14.0,0.0,0.0,0.0,0.0,0.0,35.0,2.5,Acceptable_candidate_moderate_database_refined_burden,KEEP_AS_BACKUP,2,3,14,1,0,0,0,1,0,7,Moderate_mobile_context_signal,Backup_moderate_mobile_context,3,FINAL_BACKUP_ACCEPTABLE_WITH_MONITORING,2,3,14,0,14,0,0,0.0,No_direct_plasmid_contig_evidence_detected,No_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,0,0,0,0,No_direct_mobile_element_evidence
blaNDM1,blaNDM1_riskaware_top3,2.0,0.0,0.0,0.0,2.0,2.0,14.0,7.0,Acceptable_candidate_moderate_database_refined_burden,KEEP_AS_BACKUP,2,2,2,2,2,1,0,2,0,24,Elevated_mobile_context_signal,Caution_elevated_mobile_context,4,FINAL_CAUTION_FUNCTIONAL_OR_MOBILE_CONTEXT,3,4,2,1,1,0,0,0.5,Direct_plasmid_contig_evidence_present,Strong_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,0,0,0,0,0,No_direct_mobile_element_evidence
blaNDM1,blaNDM1_riskaware_top4,8.0,8.0,0.0,0.0,0.0,8.0,120.0,15.0,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,5,8,8,8,1,0,8,0,84,High_mobile_context_signal_review_or_deprioritize,Deprioritize_high_mobile_context,5,FINAL_DEPRIORITIZE_HIGH_FUNCTIONAL_AND_HIGH_MOBILE_CONTEXT,7,5,8,8,0,0,0,1.0,Direct_plasmid_contig_evidence_present,Strong_direct_plasmid_evidence,0,0,0,0,No_direct_SCCmec_like_evidence,1,8,6,0,8,Moderate_direct_mobile_element_evidence
