target_gene,guide_id,total_hit_rows_mobile,direct_integron_marker_hits,direct_insertion_sequence_marker_hits,direct_transposon_marker_hits,direct_conjugation_marker_hits,direct_any_mobile_element_marker_hits,direct_mobile_element_evidence_strength
blaKPC,blaKPC_riskaware_top1,10,0,0,0,0,0,No_direct_mobile_element_evidence
blaKPC,blaKPC_riskaware_top2,92,0,1,1,0,2,Low_direct_mobile_element_evidence
blaKPC,blaKPC_riskaware_top3,2,0,0,0,0,0,No_direct_mobile_element_evidence
blaKPC,blaKPC_riskaware_top4,98,0,7,10,0,17,Moderate_direct_mobile_element_evidence
blaNDM1,blaNDM1_riskaware_top1,1,0,0,0,0,0,No_direct_mobile_element_evidence
blaNDM1,blaNDM1_riskaware_top2,14,0,0,0,0,0,No_direct_mobile_element_evidence
blaNDM1,blaNDM1_riskaware_top3,2,0,0,0,0,0,No_direct_mobile_element_evidence
blaNDM1,blaNDM1_riskaware_top4,8,1,8,6,0,8,Moderate_direct_mobile_element_evidence
blaNDM1,blaNDM1_riskaware_top5,24,0,0,0,0,0,No_direct_mobile_element_evidence
mcr1,mcr1_riskaware_top1,15,0,1,0,0,1,Low_direct_mobile_element_evidence
mcr1,mcr1_riskaware_top2,37,0,0,0,0,0,No_direct_mobile_element_evidence
mcr1,mcr1_riskaware_top3,31,0,0,0,0,0,No_direct_mobile_element_evidence
mcr1,mcr1_riskaware_top4,276,0,23,3,4,25,Moderate_direct_mobile_element_evidence
mcr1,mcr1_riskaware_top5,533,0,4,7,0,11,Moderate_direct_mobile_element_evidence
mecA,mecA_riskaware_top1,659,0,12,20,1,33,Moderate_direct_mobile_element_evidence
mecA,mecA_riskaware_top2,12,0,2,0,0,2,Low_direct_mobile_element_evidence
mecA,mecA_riskaware_top3,132,0,3,6,0,9,Low_direct_mobile_element_evidence
mecA,mecA_riskaware_top4,14,0,1,0,0,1,Low_direct_mobile_element_evidence
mecA,mecA_riskaware_top5,37,0,3,0,0,3,Low_direct_mobile_element_evidence
