target_gene,guide_id,total_offtarget_hits,db_refined_amr_hits,db_refined_virulence_hits,db_refined_essential_hits,db_refined_mobile_hits,db_refined_high_confidence_functional_hits,db_refined_total_burden,db_refined_mean_burden,db_refined_recommendation,db_refined_decision,db_refined_recommendation_order,db_refined_rank_within_gene,total_hits_req3,mobile_context_hits,plasmid_context_hits,integron_context_hits,sccmec_context_hits,resistance_island_like_hits,operon_proxy_hits,requirement3_mobile_context_burden,requirement3_mobile_context_decision,requirement3_final_decision,requirement3_rank_within_gene
blaKPC,blaKPC_riskaware_top5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Strong_candidate_zero_detected_offtarget_burden,PRIORITIZE_OR_KEEP_AS_LOW_OFFTARGET_CANDIDATE,0,1,0,0,0,0,0,0,0,0,Low_mobile_context_signal_zero_hit,Prioritize_zero_hit_low_mobile_context,1
blaKPC,blaKPC_riskaware_top3,2.0,1.0,0.0,0.0,2.0,2.0,18.0,9.0,Acceptable_candidate_moderate_database_refined_burden,KEEP_AS_BACKUP,2,2,2,0,0,0,0,0,0,0,Low_mobile_context_signal,Prioritize_low_mobile_context,2
blaKPC,blaKPC_riskaware_top1,10.0,0.0,0.0,10.0,0.0,10.0,80.0,8.0,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,3,10,0,0,0,0,0,0,0,Low_mobile_context_signal,Prioritize_low_mobile_context,3
blaKPC,blaKPC_riskaware_top2,92.0,4.0,9.0,4.0,23.0,36.0,463.0,5.032608695652174,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,4,92,8,1,0,0,8,0,59,High_mobile_context_signal_review_or_deprioritize,Deprioritize_high_mobile_context,4
blaKPC,blaKPC_riskaware_top4,98.0,13.0,24.0,16.0,36.0,76.0,719.0,7.336734693877551,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,5,98,27,0,0,0,27,0,189,High_mobile_context_signal_review_or_deprioritize,Deprioritize_high_mobile_context,5
blaNDM1,blaNDM1_riskaware_top1,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,Strong_candidate_low_database_refined_burden,PRIORITIZE,1,1,1,0,0,0,0,0,0,0,Low_mobile_context_signal,Prioritize_low_mobile_context,1
blaNDM1,blaNDM1_riskaware_top5,24.0,0.0,0.0,0.0,0.0,0.0,62.0,2.583333333333333,Acceptable_candidate_moderate_database_refined_burden,KEEP_AS_BACKUP,2,4,24,0,0,0,0,0,0,0,Low_mobile_context_signal,Prioritize_low_mobile_context,2
blaNDM1,blaNDM1_riskaware_top2,14.0,0.0,0.0,0.0,0.0,0.0,35.0,2.5,Acceptable_candidate_moderate_database_refined_burden,KEEP_AS_BACKUP,2,3,14,1,0,0,0,1,0,7,Moderate_mobile_context_signal,Backup_moderate_mobile_context,3
blaNDM1,blaNDM1_riskaware_top3,2.0,0.0,0.0,0.0,2.0,2.0,14.0,7.0,Acceptable_candidate_moderate_database_refined_burden,KEEP_AS_BACKUP,2,2,2,2,2,1,0,2,0,24,Elevated_mobile_context_signal,Caution_elevated_mobile_context,4
blaNDM1,blaNDM1_riskaware_top4,8.0,8.0,0.0,0.0,0.0,8.0,120.0,15.0,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,5,8,8,8,1,0,8,0,84,High_mobile_context_signal_review_or_deprioritize,Deprioritize_high_mobile_context,5
mcr1,mcr1_riskaware_top3,31.0,8.0,0.0,0.0,18.0,18.0,199.0,6.419354838709677,Avoid_or_deprioritize_high_database_refined_burden,DEPRIORITIZE,4,2,31,0,1,0,0,0,0,3,Moderate_mobile_context_signal,Backup_moderate_mobile_context,1
