heldout_gene,model,n_train,n_test,test_positive_rate,accuracy,balanced_accuracy,macro_f1,roc_auc
blaKPC,Majority baseline,78,12,0.8333333333333334,0.16666666666666666,0.5,0.14285714285714285,0.5
blaKPC,Logistic regression,78,12,0.8333333333333334,0.8333333333333334,0.5,0.45454545454545453,0.8500000000000001
blaKPC,Ridge classifier,78,12,0.8333333333333334,0.6666666666666666,0.4,0.4,0.7
blaKPC,"k-NN, k=3",78,12,0.8333333333333334,0.6666666666666666,0.4,0.4,0.8
blaKPC,"Random forest, depth=3",78,12,0.8333333333333334,0.6666666666666666,0.4,0.4,0.8
blaNDM1,Majority baseline,74,16,1.0,0.0,0.0,0.0,
blaNDM1,Logistic regression,74,16,1.0,1.0,1.0,1.0,
blaNDM1,Ridge classifier,74,16,1.0,0.875,0.875,0.4666666666666667,
blaNDM1,"k-NN, k=3",74,16,1.0,0.3125,0.3125,0.23809523809523808,
blaNDM1,"Random forest, depth=3",74,16,1.0,0.875,0.875,0.4666666666666667,
mcr1,Majority baseline,80,10,0.2,0.8,0.5,0.4444444444444444,0.5
mcr1,Logistic regression,80,10,0.2,0.6,0.375,0.375,0.375
mcr1,Ridge classifier,80,10,0.2,0.8,0.5,0.4444444444444444,0.3125
mcr1,"k-NN, k=3",80,10,0.2,0.4,0.25,0.2857142857142857,0.25
mcr1,"Random forest, depth=3",80,10,0.2,0.8,0.5,0.4444444444444444,0.5
mecA,Majority baseline,38,52,0.0,0.0,0.0,0.0,
mecA,Logistic regression,38,52,0.0,0.9807692307692307,0.9807692307692307,0.49514563106796117,
mecA,Ridge classifier,38,52,0.0,0.9807692307692307,0.9807692307692307,0.49514563106796117,
mecA,"k-NN, k=3",38,52,0.0,1.0,1.0,1.0,
mecA,"Random forest, depth=3",38,52,0.0,0.9615384615384616,0.9615384615384616,0.49019607843137253,
