external_dataset,feature_set,model,n_guides,positive_rate,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std
DeepHF_WT,encoded guide sequence,logistic regression,55604,0.25,0.6716543213915678,0.0058202268946091155,0.6248514460050807,0.0049736767130262195,0.7292649296415183,0.006246714517629972
DeepHF_WT,encoded guide sequence,ridge classifier,55604,0.25,0.6719780293852782,0.006218812378912424,0.623815298586799,0.00536491682752393,0.7293441599279309,0.0061856429241442055
DeepHF_WT,encoded guide sequence,random forest depth=5,55604,0.25,0.7189775698845401,0.0069041093765080256,0.6716732314621033,0.006843292796169048,0.7964488856357457,0.0047531987140233935
DeepHF_WT,auxiliary sequence/structure features,logistic regression,55604,0.25,0.6771334029573114,0.0032000344364863107,0.632136844728857,0.0033689691629092047,0.7421636173341566,0.003898741472890426
DeepHF_WT,auxiliary sequence/structure features,ridge classifier,55604,0.25,0.6777208553627314,0.003334994867176916,0.6313561046314893,0.003305874901675955,0.7421196921196065,0.003977491310423934
DeepHF_WT,auxiliary sequence/structure features,random forest depth=5,55604,0.25,0.6528304826687105,0.008175975866114559,0.5962402030410481,0.007301427841878496,0.7135058949157526,0.005995248955807204
DeepHF_WT,encoded guide sequence + auxiliary features,logistic regression,55604,0.25,0.7149481663027885,0.004904515453134039,0.669395634488511,0.0042075633089438515,0.7873812506361938,0.005184996823387677
DeepHF_WT,encoded guide sequence + auxiliary features,ridge classifier,55604,0.25,0.7157875322497611,0.004510028884947809,0.6682475734108573,0.0036651102095394197,0.787288705799738,0.005114418423490027
DeepHF_WT,encoded guide sequence + auxiliary features,random forest depth=5,55604,0.25,0.7191813408283473,0.007212119845061925,0.6684285480194867,0.005934287400684727,0.7872391319956977,0.005033401551548866
DeepHF_HF,encoded guide sequence,logistic regression,56888,0.25,0.6752105315454483,0.004279562913028259,0.6297203198513653,0.003992432151528057,0.7362180670364183,0.006383429632615997
DeepHF_HF,encoded guide sequence,ridge classifier,56888,0.25,0.6751402122331192,0.004414940508803995,0.6284853901550067,0.004070190247692483,0.7362386765976726,0.006379501702948626
DeepHF_HF,encoded guide sequence,random forest depth=5,56888,0.25,0.7029607508738841,0.005137512723637619,0.6558885946735791,0.004124121491462898,0.778830475122446,0.004221034449648936
DeepHF_HF,auxiliary sequence/structure features,logistic regression,56888,0.25,0.66590520986918,0.004074766834031049,0.6214749988549858,0.0037220661910147656,0.7293479141611436,0.005022420630772058
DeepHF_HF,auxiliary sequence/structure features,ridge classifier,56888,0.25,0.6659403359631018,0.003844565680374674,0.6203722606122664,0.003386354015305121,0.7292806681989032,0.005111612080123364
DeepHF_HF,auxiliary sequence/structure features,random forest depth=5,56888,0.25,0.6472368994601891,0.002733579186488154,0.5908207549247464,0.003399007257314759,0.6989145277702716,0.004183967615136992
DeepHF_HF,encoded guide sequence + auxiliary features,logistic regression,56888,0.25,0.7134375317892211,0.0033813965978807367,0.6687178203977691,0.0027643818114858523,0.7883631450824568,0.003897784889944041
DeepHF_HF,encoded guide sequence + auxiliary features,ridge classifier,56888,0.25,0.7143048205676272,0.003956028389622617,0.6672971657369383,0.0032709782868476974,0.7882949833268226,0.003959683978055295
DeepHF_HF,encoded guide sequence + auxiliary features,random forest depth=5,56888,0.25,0.6934332081395373,0.0050743974410678485,0.6399107364324824,0.0046141175964352086,0.7631315348758102,0.004487207433909124
DeepHF_ESP,encoded guide sequence,logistic regression,58617,0.25001279492297457,0.6667458136575056,0.0042811636490052846,0.6213571155988641,0.0029885645771575643,0.72636990248451,0.005429518004562977
DeepHF_ESP,encoded guide sequence,ridge classifier,58617,0.25001279492297457,0.6665978239059587,0.004305171111414666,0.620053344941275,0.002995602000595142,0.7264043574429253,0.005456423403477632
DeepHF_ESP,encoded guide sequence,random forest depth=5,58617,0.25001279492297457,0.7033560318733147,0.004877038100227177,0.6602722664915881,0.0033847386391652155,0.7832538959681378,0.006460754313796845
DeepHF_ESP,auxiliary sequence/structure features,logistic regression,58617,0.25001279492297457,0.6718640590315711,0.004354599345608372,0.6286884969682545,0.0033062181081087516,0.7369493621162397,0.00455437563413472
DeepHF_ESP,auxiliary sequence/structure features,ridge classifier,58617,0.25001279492297457,0.6721369128723144,0.00434044656619214,0.6280011054875558,0.0034436444920303735,0.7369208043435701,0.004587291967425296
DeepHF_ESP,auxiliary sequence/structure features,random forest depth=5,58617,0.25001279492297457,0.6462162106365732,0.0024023132907203147,0.5896848026959621,0.003465203808921814,0.6978582356181473,0.004539847867649425
DeepHF_ESP,encoded guide sequence + auxiliary features,logistic regression,58617,0.25001279492297457,0.7174358323018755,0.005435292575328822,0.6729440442174666,0.003985016220281077,0.7932284646207945,0.00519100358517032
DeepHF_ESP,encoded guide sequence + auxiliary features,ridge classifier,58617,0.25001279492297457,0.7175834508113876,0.005248975566696556,0.6710248426924356,0.003940969878791737,0.7931524697892607,0.005233713995780619
DeepHF_ESP,encoded guide sequence + auxiliary features,random forest depth=5,58617,0.25001279492297457,0.7053690756368262,0.0062269954377572115,0.6614433590787369,0.005025270313336961,0.7814173307094414,0.0054650910172974135
