calibration_method,bin,bin_left,bin_right,n,mean_confidence,fraction_positive,abs_gap
uncalibrated,1,0.0,0.1,58,0.0036019316339425595,0.034482758620689655,0.030880826986747094
uncalibrated,2,0.1,0.2,2,0.1271730478160386,0.0,0.1271730478160386
uncalibrated,3,0.2,0.30000000000000004,0,,,
uncalibrated,4,0.30000000000000004,0.4,1,0.32431330003902703,0.0,0.32431330003902703
uncalibrated,5,0.4,0.5,0,,,
uncalibrated,6,0.5,0.6000000000000001,0,,,
uncalibrated,7,0.6000000000000001,0.7000000000000001,1,0.6111161691818386,0.0,0.6111161691818386
uncalibrated,8,0.7000000000000001,0.8,0,,,
uncalibrated,9,0.8,0.9,1,0.867855557678601,0.0,0.867855557678601
uncalibrated,10,0.9,1.0,27,0.998810022080872,0.9629629629629629,0.035847059117909086
platt,1,0.0,0.1,52,0.06276867848922006,0.019230769230769232,0.04353790925845083
platt,2,0.1,0.2,8,0.1501568016912769,0.125,0.025156801691276903
platt,3,0.2,0.30000000000000004,1,0.2505041314842786,0.0,0.2505041314842786
platt,4,0.30000000000000004,0.4,3,0.3698684988392496,0.0,0.3698684988392496
platt,5,0.4,0.5,0,,,
platt,6,0.5,0.6000000000000001,4,0.5643824903945657,1.0,0.4356175096054343
platt,7,0.6000000000000001,0.7000000000000001,2,0.6798194466323713,1.0,0.32018055336762874
platt,8,0.7000000000000001,0.8,6,0.7803124415927328,1.0,0.21968755840726717
platt,9,0.8,0.9,13,0.8525365666685445,1.0,0.1474634333314555
platt,10,0.9,1.0,1,0.9081960598634436,1.0,0.09180394013655635
isotonic,1,0.0,0.1,52,0.015095270743066175,0.038461538461538464,0.023366267718472288
isotonic,2,0.1,0.2,8,0.14697995320515733,0.0,0.14697995320515733
isotonic,3,0.2,0.30000000000000004,1,0.2153980894868944,0.0,0.2153980894868944
isotonic,4,0.30000000000000004,0.4,1,0.3975154739657502,0.0,0.3975154739657502
isotonic,5,0.4,0.5,1,0.43295519838532787,0.0,0.43295519838532787
isotonic,6,0.5,0.6000000000000001,1,0.512061340218547,0.0,0.512061340218547
isotonic,7,0.6000000000000001,0.7000000000000001,0,,,
isotonic,8,0.7000000000000001,0.8,0,,,
isotonic,9,0.8,0.9,3,0.8483594359051495,1.0,0.1516405640948505
isotonic,10,0.9,1.0,23,0.9905669987318069,1.0,0.00943300126819313
