independent_RNAfold_metric,comparison_target,n,spearman_rho,p_value,absolute_rho
rnafold_accessibility_proxy,weak_functional_severity_label,90,0.7141360493417606,2.7489595099530715e-15,0.7141360493417606
rnafold_center20_unpaired_fraction,weak_functional_severity_label,90,0.7141360493417606,2.7489595099530715e-15,0.7141360493417606
rnafold_center20_unpaired_fraction,mlcb_base_score,90,0.6932268321919612,3.680856372600072e-14,0.6932268321919612
rnafold_center20_unpaired_fraction,simple_risk_aware_score,90,0.6932268321919612,3.680856372600072e-14,0.6932268321919612
rnafold_accessibility_proxy,mlcb_base_score,90,0.6932268321919612,3.680856372600072e-14,0.6932268321919612
rnafold_accessibility_proxy,simple_risk_aware_score,90,0.6932268321919612,3.680856372600072e-14,0.6932268321919612
rnafold_accessibility_proxy,on_target_score,90,0.6932268321919612,3.680856372600072e-14,0.6932268321919612
rnafold_center20_unpaired_fraction,on_target_score,90,0.6932268321919612,3.680856372600072e-14,0.6932268321919612
rnafold_global_unpaired_fraction,weak_functional_severity_label,90,0.6389769490456451,1.2273943662597253e-11,0.6389769490456451
rnafold_global_unpaired_fraction,mlcb_base_score,90,0.6310881669694746,2.599932868896524e-11,0.6310881669694746
rnafold_global_unpaired_fraction,on_target_score,90,0.6310881669694746,2.599932868896524e-11,0.6310881669694746
rnafold_global_unpaired_fraction,simple_risk_aware_score,90,0.6310881669694746,2.599932868896524e-11,0.6310881669694746
rnafold_global_unpaired_fraction,gc_content,90,-0.5748252960149194,3.12484420251775e-09,0.5748252960149194
rnafold_center20_unpaired_fraction,gc_content,90,-0.5452691425626925,2.744594513053483e-08,0.5452691425626925
rnafold_accessibility_proxy,gc_content,90,-0.5452691425626925,2.744594513053483e-08,0.5452691425626925
rnafold_mfe,gc_content,90,-0.47326957997545216,2.4676545003771374e-06,0.47326957997545216
rnafold_mfe_per_nt,gc_content,90,-0.47326957997545216,2.4676545003771374e-06,0.47326957997545216
rnafold_mfe,on_target_score,90,0.397753315292309,0.00010354712060510532,0.397753315292309
rnafold_mfe,mlcb_base_score,90,0.397753315292309,0.00010354712060510532,0.397753315292309
rnafold_mfe,simple_risk_aware_score,90,0.397753315292309,0.00010354712060510532,0.397753315292309
rnafold_mfe_per_nt,simple_risk_aware_score,90,0.397753315292309,0.00010354712060510532,0.397753315292309
rnafold_mfe_per_nt,on_target_score,90,0.397753315292309,0.00010354712060510532,0.397753315292309
rnafold_mfe_per_nt,mlcb_base_score,90,0.397753315292309,0.00010354712060510532,0.397753315292309
rnafold_mfe_per_nt,weak_functional_severity_label,90,0.3803970588378909,0.0002169874063602463,0.3803970588378909
rnafold_mfe,weak_functional_severity_label,90,0.3803970588378909,0.0002169874063602463,0.3803970588378909
rnafold_center20_unpaired_fraction,number_of_reference_matches,90,0.31141696429647814,0.0028105386215875787,0.31141696429647814
rnafold_accessibility_proxy,number_of_reference_matches,90,0.31141696429647814,0.0028105386215875787,0.31141696429647814
rnafold_global_unpaired_fraction,number_of_reference_matches,90,0.2999816153130503,0.004071544690174624,0.2999816153130503
rnafold_mfe_per_nt,number_of_reference_matches,90,0.2289987327872393,0.02992795564954223,0.2289987327872393
rnafold_mfe,number_of_reference_matches,90,0.2289987327872393,0.02992795564954223,0.2289987327872393
