feature_set,probe,balanced_accuracy,macro_f1,roc_auc,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std
annotation_only,knn_k3,0.744 +/- 0.144,0.743 +/- 0.156,0.778 +/- 0.150,0.7442307692307693,0.1441481244702725,0.7434988804299149,0.15646720460316338,0.7783119658119657,0.1497835814275032
annotation_only,logistic_regression,0.728 +/- 0.090,0.731 +/- 0.087,0.692 +/- 0.134,0.7275641025641025,0.08965655119907608,0.730974025974026,0.08658841951241684,0.6920940170940171,0.13384360227234648
annotation_only,random_forest_depth3,0.753 +/- 0.133,0.748 +/- 0.121,0.892 +/- 0.080,0.7532051282051282,0.13292899737527278,0.7478090428090428,0.1213293496678389,0.8924786324786325,0.07988101472809003
annotation_only,ridge_classifier,0.744 +/- 0.090,0.752 +/- 0.086,0.677 +/- 0.134,0.7435897435897436,0.09034710077987773,0.7517712287712288,0.08575416455046231,0.6773076923076923,0.13421137311326894
dnabert_only,knn_k3,0.963 +/- 0.051,0.972 +/- 0.038,0.959 +/- 0.056,0.9633333333333333,0.050552502960343644,0.972094276094276,0.03833281504494591,0.9590170940170941,0.05624011183288858
dnabert_only,logistic_regression,0.940 +/- 0.060,0.934 +/- 0.066,0.954 +/- 0.087,0.9402564102564103,0.05955400755541628,0.9342167832167831,0.06603737029527064,0.9544444444444444,0.08717089785070913
dnabert_only,random_forest_depth3,0.940 +/- 0.053,0.934 +/- 0.049,0.994 +/- 0.014,0.9396153846153845,0.05267811275515761,0.93408574034661,0.04909395350180672,0.9938461538461538,0.013760418323075637
dnabert_only,ridge_classifier,0.947 +/- 0.040,0.947 +/- 0.030,0.927 +/- 0.101,0.9473076923076924,0.03961517716317766,0.9469632332241028,0.03006322868810682,0.9266666666666667,0.10110500592068729
hybrid,knn_k3,0.963 +/- 0.051,0.972 +/- 0.038,0.959 +/- 0.056,0.9633333333333333,0.050552502960343644,0.972094276094276,0.03833281504494591,0.9590170940170941,0.05624011183288858
hybrid,logistic_regression,0.940 +/- 0.060,0.934 +/- 0.066,0.954 +/- 0.087,0.9402564102564103,0.05955400755541628,0.9342167832167831,0.06603737029527064,0.9544444444444444,0.08717089785070913
hybrid,random_forest_depth3,0.940 +/- 0.053,0.934 +/- 0.049,0.994 +/- 0.014,0.9396153846153845,0.05267811275515761,0.93408574034661,0.04909395350180672,0.9938461538461538,0.013760418323075637
hybrid,ridge_classifier,0.947 +/- 0.040,0.947 +/- 0.030,0.927 +/- 0.101,0.9473076923076924,0.03961517716317766,0.9469632332241028,0.03006322868810682,0.9266666666666665,0.10110500592068733
