accession,contig_description,inferred_species_from_header,contig_label_class
GCF_000364385.3,"NZ_CP006659.2 Klebsiella pneumoniae strain ATCC BAA-2146 chromosome 1, complete sequence",Klebsiella pneumoniae,chromosome_labeled
GCF_000739495.1,"NZ_CP009114.1 Klebsiella pneumoniae strain carbapenem-resistant blaNDM-1 chromosome, complete genome",Klebsiella pneumoniae,chromosome_labeled
GCF_000764615.1,"NZ_CP008929.1 Klebsiella pneumoniae strain PMK1 chromosome, complete genome",Klebsiella pneumoniae,chromosome_labeled
GCF_000775955.1,"NZ_CP009461.1 Klebsiella pneumoniae strain XH209 chromosome, complete genome",Klebsiella pneumoniae,chromosome_labeled
GCF_000807395.2,"NZ_CP010361.1 Klebsiella pneumoniae strain 32192 chromosome, complete genome",Klebsiella pneumoniae,chromosome_labeled
GCF_000814305.1,"NZ_CP010392.1 Klebsiella pneumoniae strain 34618 chromosome, complete genome",Klebsiella pneumoniae,chromosome_labeled
GCF_000968155.1,"NZ_FO834906.1 Klebsiella pneumoniae strain Kp52.145 chromosome, complete genome",Klebsiella pneumoniae,chromosome_labeled
GCF_001022035.1,"NZ_CP011578.1 Klebsiella pneumoniae strain CAV1392 chromosome, complete genome",Klebsiella pneumoniae,chromosome_labeled
GCF_001022175.1,"NZ_CP011624.1 Klebsiella pneumoniae strain CAV1344 chromosome, complete genome",Klebsiella pneumoniae,chromosome_labeled
GCF_001022235.1,"NZ_CP011647.1 Klebsiella pneumoniae strain CAV1596 chromosome, complete genome",Klebsiella pneumoniae,chromosome_labeled
GCF_000597845.1,"NZ_CP007265.1 Escherichia coli strain ST540 chromosome, complete genome",Escherichia coli,chromosome_labeled
GCF_000599625.1,"NZ_CP007390.1 Escherichia coli strain ST540 chromosome, complete genome",Escherichia coli,chromosome_labeled
GCF_000599645.1,"NZ_CP007391.1 Escherichia coli strain ST540 chromosome, complete genome",Escherichia coli,chromosome_labeled
GCF_000599665.1,"NZ_CP007392.1 Escherichia coli strain ST2747 chromosome, complete genome",Escherichia coli,chromosome_labeled
GCF_000599685.1,"NZ_CP007393.1 Escherichia coli strain ST2747 chromosome, complete genome",Escherichia coli,chromosome_labeled
GCF_000599705.1,"NZ_CP007394.1 Escherichia coli strain ST2747 chromosome, complete genome",Escherichia coli,chromosome_labeled
GCF_000784925.1,"NZ_CP009859.1 Escherichia coli strain ECONIH1 chromosome, complete genome",Escherichia coli,chromosome_labeled
GCF_000801185.2,"NZ_CP009106.2 Escherichia coli strain 94-3024 chromosome, complete genome",Escherichia coli,chromosome_labeled
GCF_000814145.2,"NZ_CP010371.1 Escherichia coli strain 6409 chromosome, complete genome",Escherichia coli,chromosome_labeled
GCF_000968155.1,"NZ_FO834905.1 Klebsiella pneumoniae strain Kp52.145 plasmid II, complete sequence",Klebsiella pneumoniae,plasmid_labeled
GCF_000418345.1,"NC_021670.1 Staphylococcus aureus, complete sequence",Staphylococcus aureus,unclassified_contig_label
GCF_000709475.1,"NZ_CP007447.1 Staphylococcus aureus strain XN108, complete genome",Staphylococcus aureus,unclassified_contig_label
GCA_000013465.1,"CP000255.1 Staphylococcus aureus subsp. aureus USA300_FPR3757, complete genome",Staphylococcus aureus,unclassified_contig_label
GCF_000597965.1,"NZ_CP007454.1 Staphylococcus aureus strain 502A isolate RN6607 chromosome, complete genome",Staphylococcus aureus,chromosome_labeled
