accession,unique_contigs_with_hits,inferred_species_from_header,plasmid_labeled_contigs,chromosome_labeled_contigs,unclassified_contig_labels
GCA_000013465.1,1,Staphylococcus aureus,0,0,1
GCF_000364385.3,3,Klebsiella pneumoniae,2,1,0
GCF_000418345.1,1,Staphylococcus aureus,0,0,1
GCF_000597845.1,1,Escherichia coli,0,1,0
GCF_000597965.1,1,Staphylococcus aureus,0,1,0
GCF_000599625.1,1,Escherichia coli,0,1,0
GCF_000599645.1,1,Escherichia coli,0,1,0
GCF_000599665.1,1,Escherichia coli,0,1,0
GCF_000599685.1,1,Escherichia coli,0,1,0
GCF_000599705.1,1,Escherichia coli,0,1,0
GCF_000626615.2,1,Staphylococcus aureus,0,1,0
GCF_000695215.1,1,Staphylococcus aureus,0,1,0
GCF_000695875.1,1,Staphylococcus aureus,0,1,0
GCF_000709475.1,1,Staphylococcus aureus,0,0,1
GCF_000739495.1,2,Klebsiella pneumoniae,1,1,0
GCF_000746505.1,1,Staphylococcus aureus,0,1,0
GCF_000756205.1,1,Staphylococcus aureus,0,1,0
GCF_000764615.1,4,Klebsiella pneumoniae,3,1,0
GCF_000769575.1,1,Staphylococcus aureus,0,1,0
GCF_000772025.1,1,Staphylococcus aureus,0,1,0
GCF_000775955.1,1,Klebsiella pneumoniae,0,1,0
GCF_000784925.1,2,Escherichia coli,1,1,0
GCF_000801165.1,1,Escherichia coli,0,1,0
GCF_000801185.2,1,Escherichia coli,0,1,0
GCF_000807395.2,3,Klebsiella pneumoniae,2,1,0
GCF_000814145.2,2,Escherichia coli,1,1,0
GCF_000814305.1,2,Klebsiella pneumoniae,1,1,0
GCF_000815045.1,1,Staphylococcus aureus,0,1,0
GCF_000815085.1,1,Staphylococcus aureus,0,1,0
GCF_000815125.1,1,Staphylococcus aureus,0,1,0
GCF_000815165.1,1,Staphylococcus aureus,0,1,0
GCF_000815205.1,1,Staphylococcus aureus,0,1,0
GCF_000968155.1,2,Klebsiella pneumoniae,1,1,0
GCF_001022035.1,1,Klebsiella pneumoniae,0,1,0
GCF_001022175.1,1,Klebsiella pneumoniae,0,1,0
GCF_001022235.1,2,Klebsiella pneumoniae,1,1,0
