target_gene,guide_id,accession,locus,ORF_ID,Best_Hit_ARO,ARO,Drug Class,Resistance Mechanism,AMR Gene Family,Model_type,Cut_Off,Best_Identities,Percentage Length of Reference Sequence
blaKPC,blaKPC_riskaware_top2,GCF_000739495.1,NZ_CP009114.1:3406516-3407679:+,blaKPC|blaKPC_riskaware_top2|GCF_000739495.1|NZ_CP009114.1:3406516-3407679:+|gene=nan|product=multidrug_effflux_MFS_transporter|record=23_1 # 1 # 1164 # 1 # ID=23_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.643,bcr-1,3003801,bicyclomycin-like antibiotic,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump,protein homolog model,Loose,37.23,96.27
blaKPC,blaKPC_riskaware_top2,GCF_000775955.1,NZ_CP009461.1:4961162-4962325:-,blaKPC|blaKPC_riskaware_top2|GCF_000775955.1|NZ_CP009461.1:4961162-4962325:-|gene=nan|product=multidrug_effflux_MFS_transporter|record=29_1 # 1 # 1164 # 1 # ID=29_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.643,bcr-1,3003801,bicyclomycin-like antibiotic,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump,protein homolog model,Loose,37.23,96.27
blaKPC,blaKPC_riskaware_top2,GCF_000968155.1,NZ_FO834906.1:66779-67942:-,blaKPC|blaKPC_riskaware_top2|GCF_000968155.1|NZ_FO834906.1:66779-67942:-|gene=nan|product=multidrug_effflux_MFS_transporter|record=39_1 # 1 # 1164 # 1 # ID=39_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.643,bcr-1,3003801,bicyclomycin-like antibiotic,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump,protein homolog model,Loose,37.23,96.27
blaKPC,blaKPC_riskaware_top4,GCF_000597845.1,NZ_CP007265.1:949533-951119:+,blaKPC|blaKPC_riskaware_top4|GCF_000597845.1|NZ_CP007265.1:949533-951119:+|gene=prpR|product=propionate_catabolism_operon_regulatory_protein_PrpR|record=56_1 # 1 # 1587 # 1 # ID=56_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.551,TxR,3005008,tetracycline antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,40.84,166.04
blaKPC,blaKPC_riskaware_top4,GCF_000599625.1,NZ_CP007390.1:3523343-3524929:+,blaKPC|blaKPC_riskaware_top4|GCF_000599625.1|NZ_CP007390.1:3523343-3524929:+|gene=prpR|product=propionate_catabolism_operon_regulatory_protein_PrpR|record=58_1 # 1 # 1587 # 1 # ID=58_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.551,TxR,3005008,tetracycline antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,40.84,166.04
blaKPC,blaKPC_riskaware_top4,GCF_000599645.1,NZ_CP007391.1:3622464-3624050:+,blaKPC|blaKPC_riskaware_top4|GCF_000599645.1|NZ_CP007391.1:3622464-3624050:+|gene=prpR|product=propionate_catabolism_operon_regulatory_protein_PrpR|record=59_1 # 1 # 1587 # 1 # ID=59_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.551,TxR,3005008,tetracycline antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,40.84,166.04
blaNDM1,blaNDM1_riskaware_top4,GCF_000364385.3,NZ_CP006661.1:122191-123003:+,blaNDM1|blaNDM1_riskaware_top4|GCF_000364385.3|NZ_CP006661.1:122191-123003:+|gene=nan|product=subclass_B1_metallo-beta-lactamase_NDM-1|record=126_1 # 1 # 813 # 1 # ID=126_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.615,NDM-1,3000589,carbapenem; cephalosporin; penicillin beta-lactam,antibiotic inactivation,NDM beta-lactamase,protein homolog model,Perfect,100.0,100.0
blaNDM1,blaNDM1_riskaware_top4,GCF_000739495.1,NZ_CP009115.1:30287-31099:+,blaNDM1|blaNDM1_riskaware_top4|GCF_000739495.1|NZ_CP009115.1:30287-31099:+|gene=nan|product=subclass_B1_metallo-beta-lactamase_NDM-1|record=127_1 # 1 # 813 # 1 # ID=127_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.615,NDM-1,3000589,carbapenem; cephalosporin; penicillin beta-lactam,antibiotic inactivation,NDM beta-lactamase,protein homolog model,Perfect,100.0,100.0
blaNDM1,blaNDM1_riskaware_top4,GCF_000764615.1,NZ_CP008933.1:47947-48759:+,blaNDM1|blaNDM1_riskaware_top4|GCF_000764615.1|NZ_CP008933.1:47947-48759:+|gene=nan|product=subclass_B1_metallo-beta-lactamase_NDM-1|record=128_1 # 1 # 813 # 1 # ID=128_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.615,NDM-1,3000589,carbapenem; cephalosporin; penicillin beta-lactam,antibiotic inactivation,NDM beta-lactamase,protein homolog model,Perfect,100.0,100.0
blaNDM1,blaNDM1_riskaware_top4,GCF_000764615.1,NZ_CP008933.1:56535-57347:+,blaNDM1|blaNDM1_riskaware_top4|GCF_000764615.1|NZ_CP008933.1:56535-57347:+|gene=nan|product=subclass_B1_metallo-beta-lactamase_NDM-1|record=129_1 # 1 # 813 # 1 # ID=129_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.615,NDM-1,3000589,carbapenem; cephalosporin; penicillin beta-lactam,antibiotic inactivation,NDM beta-lactamase,protein homolog model,Perfect,100.0,100.0
