target_gene,panel_category,organism_or_element,accession,assembly_name,assembly_level,source_database,strain_name,target_gene_confirmed,plasmid_or_element_type,include_in_final_panel,reason_for_inclusion,notes
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCA_000013465.1,Staphylococcus aureus subsp. aureus USA300_FPR3757,Complete Genome,NCBI,USA300_FPR3757,Yes,SCCmec/MRSA chromosome,Yes,Tested NCBI download and FASTA-GFF compatibility passed,Used as validated workflow test accession
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000418345.1,ASM41834v1,Complete Genome,SOURCE_DATABASE_REFSEQ,Bmb9393,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000597965.1,ASM59796v1,Complete Genome,SOURCE_DATABASE_REFSEQ,502A,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000626615.2,ASM62661v3,Complete Genome,SOURCE_DATABASE_REFSEQ,FDAARGOS_5,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000695215.1,ASM69521v1,Complete Genome,SOURCE_DATABASE_REFSEQ,H-EMRSA-15,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000695875.1,ASM69587v1,Complete Genome,SOURCE_DATABASE_REFSEQ,UA-S391_USA300,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000709475.1,ASM70947v1,Complete Genome,SOURCE_DATABASE_REFSEQ,XN108,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000746505.1,ASM74650v1,Complete Genome,SOURCE_DATABASE_REFSEQ,2395 USA500,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000756205.1,ASM75620v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ATCC 25923,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000769575.1,ASM76957v1,Complete Genome,SOURCE_DATABASE_REFSEQ,Gv69,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000772025.1,ASM77202v1,Complete Genome,SOURCE_DATABASE_REFSEQ,FORC_001,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000815045.1,ASM81504v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ATCC BAA1680,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000815085.1,ASM81508v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ATCC BAA1680,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
