weight_scheme,gene,guide_count,mean_final_score,best_final_score,mean_conservation,best_conservation,excellent_count,good_count,moderate_count,poor_count
0/0/100,blaKPC,34,100.0,100.0,100.0,100.0,34,0,0,0
0/0/100,blaNDM1,46,100.0,100.0,100.0,100.0,46,0,0,0
0/0/100,mcr1,42,99.08,100.0,99.08,100.0,40,2,0,0
0/0/100,mecA,23,100.0,100.0,100.0,100.0,23,0,0,0
0/10/90,blaKPC,34,98.56,100.0,100.0,100.0,34,0,0,0
0/10/90,blaNDM1,46,100.0,100.0,100.0,100.0,46,0,0,0
0/10/90,mcr1,42,99.02,100.0,99.08,100.0,40,2,0,0
0/10/90,mecA,23,100.0,100.0,100.0,100.0,23,0,0,0
0/100/0,blaKPC,34,85.58,100.0,100.0,100.0,26,0,1,7
0/100/0,blaNDM1,46,100.0,100.0,100.0,100.0,46,0,0,0
0/100/0,mcr1,42,98.5,100.0,99.08,100.0,41,0,0,1
0/100/0,mecA,23,100.0,100.0,100.0,100.0,23,0,0,0
0/20/80,blaKPC,34,97.12,100.0,100.0,100.0,34,0,0,0
0/20/80,blaNDM1,46,100.0,100.0,100.0,100.0,46,0,0,0
0/20/80,mcr1,42,98.96,100.0,99.08,100.0,41,1,0,0
0/20/80,mecA,23,100.0,100.0,100.0,100.0,23,0,0,0
0/30/70,blaKPC,34,95.67,100.0,100.0,100.0,27,7,0,0
0/30/70,blaNDM1,46,100.0,100.0,100.0,100.0,46,0,0,0
0/30/70,mcr1,42,98.9,100.0,99.08,100.0,40,2,0,0
0/30/70,mecA,23,100.0,100.0,100.0,100.0,23,0,0,0
0/40/60,blaKPC,34,94.23,100.0,100.0,100.0,27,7,0,0
0/40/60,blaNDM1,46,100.0,100.0,100.0,100.0,46,0,0,0
0/40/60,mcr1,42,98.85,100.0,99.08,100.0,41,1,0,0
0/40/60,mecA,23,100.0,100.0,100.0,100.0,23,0,0,0
0/50/50,blaKPC,34,92.79,100.0,100.0,100.0,26,1,7,0
0/50/50,blaNDM1,46,100.0,100.0,100.0,100.0,46,0,0,0
0/50/50,mcr1,42,98.79,100.0,99.08,100.0,41,0,1,0
0/50/50,mecA,23,100.0,100.0,100.0,100.0,23,0,0,0
0/60/40,blaKPC,34,91.35,100.0,100.0,100.0,26,1,7,0
0/60/40,blaNDM1,46,100.0,100.0,100.0,100.0,46,0,0,0
0/60/40,mcr1,42,98.73,100.0,99.08,100.0,41,0,1,0
0/60/40,mecA,23,100.0,100.0,100.0,100.0,23,0,0,0
0/70/30,blaKPC,34,89.91,100.0,100.0,100.0,26,1,7,0
0/70/30,blaNDM1,46,100.0,100.0,100.0,100.0,46,0,0,0
0/70/30,mcr1,42,98.67,100.0,99.08,100.0,41,0,1,0
0/70/30,mecA,23,100.0,100.0,100.0,100.0,23,0,0,0
0/80/20,blaKPC,34,88.46,100.0,100.0,100.0,26,1,0,7
0/80/20,blaNDM1,46,100.0,100.0,100.0,100.0,46,0,0,0
0/80/20,mcr1,42,98.61,100.0,99.08,100.0,41,0,0,1
0/80/20,mecA,23,100.0,100.0,100.0,100.0,23,0,0,0
0/90/10,blaKPC,34,87.02,100.0,100.0,100.0,26,1,0,7
0/90/10,blaNDM1,46,100.0,100.0,100.0,100.0,46,0,0,0
0/90/10,mcr1,42,98.55,100.0,99.08,100.0,41,0,0,1
0/90/10,mecA,23,100.0,100.0,100.0,100.0,23,0,0,0
10/0/90,blaKPC,34,97.75,98.2,100.0,100.0,34,0,0,0
10/0/90,blaNDM1,46,97.72,98.4,100.0,100.0,46,0,0,0
10/0/90,mcr1,42,96.96,98.2,99.08,100.0,40,2,0,0
10/0/90,mecA,23,97.85,98.0,100.0,100.0,23,0,0,0
10/10/80,blaKPC,34,96.31,98.2,100.0,100.0,34,0,0,0
10/10/80,blaNDM1,46,97.72,98.4,100.0,100.0,46,0,0,0
10/10/80,mcr1,42,96.91,98.2,99.08,100.0,40,2,0,0
10/10/80,mecA,23,97.85,98.0,100.0,100.0,23,0,0,0
10/20/70,blaKPC,34,94.87,98.2,100.0,100.0,30,4,0,0
10/20/70,blaNDM1,46,97.72,98.4,100.0,100.0,46,0,0,0
10/20/70,mcr1,42,96.85,98.2,99.08,100.0,41,1,0,0
10/20/70,mecA,23,97.85,98.0,100.0,100.0,23,0,0,0
