target_gene,guide_id,total_hit_rows_sccmec,direct_sccmec_marker_hits,direct_sccmec_proxy_context_hits,direct_nearby_sccmec_feature_hits,direct_sccmec_relevant_hits,direct_sccmec_evidence_strength
blaKPC,blaKPC_riskaware_top1,10,0,0,0,0,No_direct_SCCmec_like_evidence
blaKPC,blaKPC_riskaware_top2,92,0,0,0,0,No_direct_SCCmec_like_evidence
blaKPC,blaKPC_riskaware_top3,2,0,0,0,0,No_direct_SCCmec_like_evidence
blaKPC,blaKPC_riskaware_top4,98,0,0,0,0,No_direct_SCCmec_like_evidence
blaNDM1,blaNDM1_riskaware_top1,1,0,0,0,0,No_direct_SCCmec_like_evidence
blaNDM1,blaNDM1_riskaware_top2,14,0,0,0,0,No_direct_SCCmec_like_evidence
blaNDM1,blaNDM1_riskaware_top3,2,0,0,0,0,No_direct_SCCmec_like_evidence
blaNDM1,blaNDM1_riskaware_top4,8,0,0,0,0,No_direct_SCCmec_like_evidence
blaNDM1,blaNDM1_riskaware_top5,24,0,0,0,0,No_direct_SCCmec_like_evidence
mcr1,mcr1_riskaware_top1,15,0,0,0,0,No_direct_SCCmec_like_evidence
mcr1,mcr1_riskaware_top2,37,0,0,0,0,No_direct_SCCmec_like_evidence
mcr1,mcr1_riskaware_top3,31,0,0,0,0,No_direct_SCCmec_like_evidence
mcr1,mcr1_riskaware_top4,276,0,0,0,0,No_direct_SCCmec_like_evidence
mcr1,mcr1_riskaware_top5,533,0,0,0,0,No_direct_SCCmec_like_evidence
mecA,mecA_riskaware_top1,659,6,10,10,10,Strong_direct_SCCmec_like_evidence
mecA,mecA_riskaware_top2,12,0,0,0,0,No_direct_SCCmec_like_evidence
mecA,mecA_riskaware_top3,132,0,0,0,0,No_direct_SCCmec_like_evidence
mecA,mecA_riskaware_top4,14,0,0,0,0,No_direct_SCCmec_like_evidence
mecA,mecA_riskaware_top5,37,0,0,0,0,No_direct_SCCmec_like_evidence
