target_gene,guide_id,total_hits,mobile_context_hits,plasmid_context_hits,integron_context_hits,sccmec_context_hits,resistance_island_like_hits,operon_proxy_hits,requirement3_mobile_context_burden,requirement3_mobile_context_decision
blaKPC,blaKPC_riskaware_top1,10,0,0,0,0,0,0,0,Low_mobile_context_signal
blaKPC,blaKPC_riskaware_top2,92,8,1,0,0,8,0,59,High_mobile_context_signal_review_or_deprioritize
blaKPC,blaKPC_riskaware_top3,2,0,0,0,0,0,0,0,Low_mobile_context_signal
blaKPC,blaKPC_riskaware_top4,98,27,0,0,0,27,0,189,High_mobile_context_signal_review_or_deprioritize
blaNDM1,blaNDM1_riskaware_top1,1,0,0,0,0,0,0,0,Low_mobile_context_signal
blaNDM1,blaNDM1_riskaware_top2,14,1,0,0,0,1,0,7,Moderate_mobile_context_signal
blaNDM1,blaNDM1_riskaware_top3,2,2,2,1,0,2,0,24,Elevated_mobile_context_signal
blaNDM1,blaNDM1_riskaware_top4,8,8,8,1,0,8,0,84,High_mobile_context_signal_review_or_deprioritize
blaNDM1,blaNDM1_riskaware_top5,24,0,0,0,0,0,0,0,Low_mobile_context_signal
mcr1,mcr1_riskaware_top1,15,2,0,0,0,2,0,14,Elevated_mobile_context_signal
mcr1,mcr1_riskaware_top2,37,2,0,0,0,2,0,14,Elevated_mobile_context_signal
mcr1,mcr1_riskaware_top3,31,0,1,0,0,0,0,3,Moderate_mobile_context_signal
mcr1,mcr1_riskaware_top4,276,54,13,0,0,54,0,417,High_mobile_context_signal_review_or_deprioritize
mcr1,mcr1_riskaware_top5,533,108,4,0,0,106,0,758,High_mobile_context_signal_review_or_deprioritize
mecA,mecA_riskaware_top1,659,88,1,0,10,87,0,654,High_mobile_context_signal_review_or_deprioritize
mecA,mecA_riskaware_top2,12,2,0,0,0,2,0,14,Elevated_mobile_context_signal
mecA,mecA_riskaware_top3,132,32,0,0,0,32,0,224,High_mobile_context_signal_review_or_deprioritize
mecA,mecA_riskaware_top4,14,3,1,0,0,3,0,24,Elevated_mobile_context_signal
mecA,mecA_riskaware_top5,37,19,0,0,0,19,0,133,High_mobile_context_signal_review_or_deprioritize
