target_gene,guide_id,total_hit_rows,direct_plasmid_contig_hits,direct_chromosome_contig_hits,no_fasta_header_match_hits,unclassified_contig_hits,direct_plasmid_hit_fraction,direct_plasmid_mapping_decision
blaKPC,blaKPC_riskaware_top1,10,0,10,0,0,0.0,No_direct_plasmid_contig_evidence_detected
blaKPC,blaKPC_riskaware_top2,92,1,91,0,0,0.010869565217391304,Direct_plasmid_contig_evidence_present
blaKPC,blaKPC_riskaware_top3,2,0,1,0,1,0.0,No_direct_plasmid_contig_evidence_detected
blaKPC,blaKPC_riskaware_top4,98,0,97,0,1,0.0,No_direct_plasmid_contig_evidence_detected
blaNDM1,blaNDM1_riskaware_top1,1,0,1,0,0,0.0,No_direct_plasmid_contig_evidence_detected
blaNDM1,blaNDM1_riskaware_top2,14,0,14,0,0,0.0,No_direct_plasmid_contig_evidence_detected
blaNDM1,blaNDM1_riskaware_top3,2,1,1,0,0,0.5,Direct_plasmid_contig_evidence_present
blaNDM1,blaNDM1_riskaware_top4,8,8,0,0,0,1.0,Direct_plasmid_contig_evidence_present
blaNDM1,blaNDM1_riskaware_top5,24,0,24,0,0,0.0,No_direct_plasmid_contig_evidence_detected
mcr1,mcr1_riskaware_top1,15,0,15,0,0,0.0,No_direct_plasmid_contig_evidence_detected
mcr1,mcr1_riskaware_top2,37,0,37,0,0,0.0,No_direct_plasmid_contig_evidence_detected
mcr1,mcr1_riskaware_top3,31,1,30,0,0,0.03225806451612903,Direct_plasmid_contig_evidence_present
mcr1,mcr1_riskaware_top4,276,10,266,0,0,0.036231884057971016,Direct_plasmid_contig_evidence_present
mcr1,mcr1_riskaware_top5,533,2,529,0,2,0.00375234521575985,Direct_plasmid_contig_evidence_present
mecA,mecA_riskaware_top1,659,1,658,0,0,0.0015174506828528073,Direct_plasmid_contig_evidence_present
mecA,mecA_riskaware_top2,12,0,12,0,0,0.0,No_direct_plasmid_contig_evidence_detected
mecA,mecA_riskaware_top3,132,0,129,0,3,0.0,No_direct_plasmid_contig_evidence_detected
mecA,mecA_riskaware_top4,14,1,13,0,0,0.07142857142857142,Direct_plasmid_contig_evidence_present
mecA,mecA_riskaware_top5,37,0,35,0,2,0.0,No_direct_plasmid_contig_evidence_detected
