target_gene,guide_id,total_offtarget_hits,coding_cds_hits,noncoding_or_intergenic_hits,amr_hits,virulence_hits,essential_like_hits,mobile_or_plasmid_hits,low_mismatch_hits,high_interest_hits,total_functional_burden,mean_functional_burden,functional_annotation_recommendation
blaKPC,blaKPC_riskaware_top3,2,2,0,0,0,0,1,0,1,9.0,4.5,Acceptable_candidate_moderate_functional_offtarget_burden
blaKPC,blaKPC_riskaware_top1,10,10,0,0,0,10,0,0,10,70.0,7.0,Avoid_or_deprioritize_high_functional_offtarget_burden
blaKPC,blaKPC_riskaware_top2,92,92,0,3,9,1,1,0,14,352.0,3.8260869565217392,Avoid_or_deprioritize_high_functional_offtarget_burden
blaKPC,blaKPC_riskaware_top4,98,98,0,0,24,12,0,0,36,481.0,4.908163265306122,Avoid_or_deprioritize_high_functional_offtarget_burden
blaNDM1,blaNDM1_riskaware_top3,2,2,0,0,0,0,2,0,2,12.0,6.0,Acceptable_candidate_moderate_functional_offtarget_burden
blaNDM1,blaNDM1_riskaware_top2,14,7,0,0,0,0,0,0,0,35.0,2.5,Acceptable_candidate_moderate_functional_offtarget_burden
blaNDM1,blaNDM1_riskaware_top5,24,14,0,0,0,0,0,0,0,62.0,2.5833333333333335,Acceptable_candidate_moderate_functional_offtarget_burden
blaNDM1,blaNDM1_riskaware_top4,8,8,0,8,0,0,0,8,8,104.0,13.0,Avoid_or_deprioritize_high_functional_offtarget_burden
blaNDM1,blaNDM1_riskaware_top1,1,1,0,0,0,0,0,0,0,3.0,3.0,Strong_candidate_low_functional_offtarget_burden
mcr1,mcr1_riskaware_top4,276,276,0,22,0,30,0,0,52,1080.0,3.9130434782608696,Avoid_or_deprioritize_high_functional_offtarget_burden
mcr1,mcr1_riskaware_top5,533,533,0,15,11,23,8,20,77,1969.0,3.6941838649155723,Avoid_or_deprioritize_high_functional_offtarget_burden
mcr1,mcr1_riskaware_top1,15,15,0,0,0,2,3,0,5,62.0,4.133333333333334,Caution_candidate_elevated_functional_offtarget_burden
mcr1,mcr1_riskaware_top3,31,31,0,0,0,0,0,0,0,95.0,3.064516129032258,Caution_candidate_elevated_functional_offtarget_burden
mcr1,mcr1_riskaware_top2,37,36,0,0,0,0,0,0,0,120.0,3.2432432432432434,Caution_candidate_elevated_functional_offtarget_burden
mecA,mecA_riskaware_top2,12,12,0,0,0,0,0,0,0,36.0,3.0,Acceptable_candidate_moderate_functional_offtarget_burden
mecA,mecA_riskaware_top4,14,14,0,0,0,1,0,0,1,46.0,3.2857142857142856,Acceptable_candidate_moderate_functional_offtarget_burden
mecA,mecA_riskaware_top3,132,132,0,16,6,1,0,0,23,542.0,4.106060606060606,Avoid_or_deprioritize_high_functional_offtarget_burden
mecA,mecA_riskaware_top1,659,658,0,13,21,20,1,10,65,2331.0,3.5371775417298936,Avoid_or_deprioritize_high_functional_offtarget_burden
mecA,mecA_riskaware_top5,37,25,0,0,1,4,0,0,5,120.0,3.2432432432432434,Caution_candidate_elevated_functional_offtarget_burden
