rgi_input_record_id,target_gene,guide_id,accession,local_genome_file,seqid,start,end,strand,sequence_length,overlap_gene,overlap_product,db_amr_confirmed,db_refined_functional_class
blaKPC|blaKPC_riskaware_top1|GCF_000364385.3|NZ_CP006659.2:3906212-3907084:+|gene=amiA|product=N-acetylmuramoyl-L-alanine_amidase_AmiA|record=1,blaKPC,blaKPC_riskaware_top1,GCF_000364385.3,data_cas_offinder/expanded_panel/genomes/GCF_000364385.3_genomic.fna,NZ_CP006659.2,3906212,3907084,+,873,amiA,N-acetylmuramoyl-L-alanine amidase AmiA,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top1|GCF_000739495.1|NZ_CP009114.1:2055393-2056265:+|gene=amiA|product=N-acetylmuramoyl-L-alanine_amidase_AmiA|record=2,blaKPC,blaKPC_riskaware_top1,GCF_000739495.1,data_cas_offinder/expanded_panel/genomes/GCF_000739495.1_genomic.fna,NZ_CP009114.1,2055393,2056265,+,873,amiA,N-acetylmuramoyl-L-alanine amidase AmiA,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top1|GCF_000764615.1|NZ_CP008929.1:311406-312278:+|gene=amiA|product=N-acetylmuramoyl-L-alanine_amidase_AmiA|record=3,blaKPC,blaKPC_riskaware_top1,GCF_000764615.1,data_cas_offinder/expanded_panel/genomes/GCF_000764615.1_genomic.fna,NZ_CP008929.1,311406,312278,+,873,amiA,N-acetylmuramoyl-L-alanine amidase AmiA,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top1|GCF_000775955.1|NZ_CP009461.1:1149165-1150037:-|gene=amiA|product=N-acetylmuramoyl-L-alanine_amidase_AmiA|record=4,blaKPC,blaKPC_riskaware_top1,GCF_000775955.1,data_cas_offinder/expanded_panel/genomes/GCF_000775955.1_genomic.fna,NZ_CP009461.1,1149165,1150037,-,873,amiA,N-acetylmuramoyl-L-alanine amidase AmiA,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top1|GCF_000807395.2|NZ_CP010361.1:1415117-1415989:-|gene=amiA|product=N-acetylmuramoyl-L-alanine_amidase_AmiA|record=5,blaKPC,blaKPC_riskaware_top1,GCF_000807395.2,data_cas_offinder/expanded_panel/genomes/GCF_000807395.2_genomic.fna,NZ_CP010361.1,1415117,1415989,-,873,amiA,N-acetylmuramoyl-L-alanine amidase AmiA,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top1|GCF_000814305.1|NZ_CP010392.1:1414954-1415826:-|gene=amiA|product=N-acetylmuramoyl-L-alanine_amidase_AmiA|record=6,blaKPC,blaKPC_riskaware_top1,GCF_000814305.1,data_cas_offinder/expanded_panel/genomes/GCF_000814305.1_genomic.fna,NZ_CP010392.1,1414954,1415826,-,873,amiA,N-acetylmuramoyl-L-alanine amidase AmiA,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top1|GCF_000968155.1|NZ_FO834906.1:4212584-4213456:+|gene=amiA|product=N-acetylmuramoyl-L-alanine_amidase_AmiA|record=7,blaKPC,blaKPC_riskaware_top1,GCF_000968155.1,data_cas_offinder/expanded_panel/genomes/GCF_000968155.1_genomic.fna,NZ_FO834906.1,4212584,4213456,+,873,amiA,N-acetylmuramoyl-L-alanine amidase AmiA,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top1|GCF_001022035.1|NZ_CP011578.1:1995526-1996398:+|gene=amiA|product=N-acetylmuramoyl-L-alanine_amidase_AmiA|record=8,blaKPC,blaKPC_riskaware_top1,GCF_001022035.1,data_cas_offinder/expanded_panel/genomes/GCF_001022035.1_genomic.fna,NZ_CP011578.1,1995526,1996398,+,873,amiA,N-acetylmuramoyl-L-alanine amidase AmiA,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top1|GCF_001022175.1|NZ_CP011624.1:3681271-3682143:-|gene=amiA|product=N-acetylmuramoyl-L-alanine_amidase_AmiA|record=9,blaKPC,blaKPC_riskaware_top1,GCF_001022175.1,data_cas_offinder/expanded_panel/genomes/GCF_001022175.1_genomic.fna,NZ_CP011624.1,3681271,3682143,-,873,amiA,N-acetylmuramoyl-L-alanine amidase AmiA,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top1|GCF_001022235.1|NZ_CP011647.1:5092329-5093201:+|gene=amiA|product=N-acetylmuramoyl-L-alanine_amidase_AmiA|record=10,blaKPC,blaKPC_riskaware_top1,GCF_001022235.1,data_cas_offinder/expanded_panel/genomes/GCF_001022235.1_genomic.fna,NZ_CP011647.1,5092329,5093201,+,873,amiA,N-acetylmuramoyl-L-alanine amidase AmiA,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top2|GCF_000364385.3|NZ_CP006659.2:770164-770850:+|gene=nan|product=tRNA/rRNA_methyltransferase|record=11,blaKPC,blaKPC_riskaware_top2,GCF_000364385.3,data_cas_offinder/expanded_panel/genomes/GCF_000364385.3_genomic.fna,NZ_CP006659.2,770164,770850,+,687,,tRNA/rRNA methyltransferase,False,DB_refined_mobile_or_plasmid_related
